Question Number,Question Title,Voted On Question?,Vote Index,Vote Title,Voter Name,Voter Email,Vote Time
1,How many Skittles are in the vase?,Yes,¡,88,Anonymous,Email Not Captured,"Sep 29, 2018 3:32 PM"
1,How many Skittles are in the vase?,Yes,{,69,Anonymous,Email Not Captured,"Sep 29, 2018 3:32 PM"
1,How many Skittles are in the vase?,Yes,C,75,Anonymous,Email Not Captured,"Sep 29, 2018 3:32 PM"
1,How many Skittles are in the vase?,Yes,,80,Anonymous,Email Not Captured,"Sep 29, 2018 3:32 PM"
1,How many Skittles are in the vase?,Yes,,84,Anonymous,Email Not Captured,"Sep 29, 2018 3:32 PM"
1,How many Skittles are in the vase?,Yes,,85,Anonymous,Email Not Captured,"Sep 29, 2018 3:32 PM"
1,How many Skittles are in the vase?,Yes,C,75,Anonymous,Email Not Captured,"Sep 29, 2018 3:32 PM"
1,How many Skittles are in the vase?,Yes,,64,Anonymous,Email Not Captured,"Sep 29, 2018 3:32 PM"
1,How many Skittles are in the vase?,Yes,J,55,Anonymous,Email Not Captured,"Sep 29, 2018 3:32 PM"
1,How many Skittles are in the vase?,Yes,F,150,Anonymous,Email Not Captured,"Sep 29, 2018 3:32 PM"
1,How many Skittles are in the vase?,Yes,,67,Anonymous,Email Not Captured,"Sep 29, 2018 3:32 PM"
1,How many Skittles are in the vase?,Yes,±,140,Anonymous,Email Not Captured,"Sep 29, 2018 3:32 PM"
1,How many Skittles are in the vase?,Yes,K,100,Anonymous,Email Not Captured,"Sep 29, 2018 3:32 PM"
1,How many Skittles are in the vase?,Yes,C,75,Anonymous,Email Not Captured,"Sep 29, 2018 3:32 PM"
1,How many Skittles are in the vase?,Yes,G,120,Anonymous,Email Not Captured,"Sep 29, 2018 3:32 PM"
1,How many Skittles are in the vase?,Yes,,112,Anonymous,Email Not Captured,"Sep 29, 2018 3:32 PM"
1,How many Skittles are in the vase?,Yes,J,55,Anonymous,Email Not Captured,"Sep 29, 2018 3:32 PM"
1,How many Skittles are in the vase?,Yes,²,350,Anonymous,Email Not Captured,"Sep 29, 2018 3:32 PM"
1,How many Skittles are in the vase?,Yes,,102,Anonymous,Email Not Captured,"Sep 29, 2018 3:32 PM"
1,How many Skittles are in the vase?,Yes,,125,Anonymous,Email Not Captured,"Sep 29, 2018 3:32 PM"
1,How many Skittles are in the vase?,Yes,¯,96,Anonymous,Email Not Captured,"Sep 29, 2018 3:32 PM"
1,How many Skittles are in the vase?,Yes,E,40,Anonymous,Email Not Captured,"Sep 29, 2018 3:32 PM"
1,How many Skittles are in the vase?,Yes,D,45,Anonymous,Email Not Captured,"Sep 29, 2018 3:32 PM"
1,How many Skittles are in the vase?,Yes,U,65,Anonymous,Email Not Captured,"Sep 29, 2018 3:32 PM"
1,How many Skittles are in the vase?,Yes,A,60,Anonymous,Email Not Captured,"Sep 29, 2018 3:32 PM"
1,How many Skittles are in the vase?,Yes,U,65,Anonymous,Email Not Captured,"Sep 29, 2018 3:32 PM"
1,How many Skittles are in the vase?,Yes,G,120,Anonymous,Email Not Captured,"Sep 29, 2018 3:32 PM"
1,How many Skittles are in the vase?,Yes,L,50,Anonymous,Email Not Captured,"Sep 29, 2018 3:32 PM"
1,How many Skittles are in the vase?,Yes,M,38,Anonymous,Email Not Captured,"Sep 29, 2018 3:33 PM"
